(main) root@C.35718745:/workspace$ python check_profiles.py

llama-sft (llama) at Phase 0C candidate layers:
  Layer | Norm Magnitude
  ------|---------------
      4 | 0.2763
      8 | 0.2995
     12 | 0.2890
     16 | 0.4900
     20 | 0.5897
     21 | 0.5800
     22 | 0.6068 ←
     23 | 0.5964
     28 | 0.5471
     29 | 0.5631
     30 | 0.5715
     31 | 0.5934

llama-ra-sft (llama) at Phase 0C candidate layers:
  Layer | Norm Magnitude
  ------|---------------
      4 | 0.2256
      8 | 0.2338
     12 | 0.2374
     16 | 0.2997
     20 | 0.3543
     21 | 0.3603
     22 | 0.3740
     23 | 0.3822
     28 | 0.3997
     29 | 0.4069 ←
     30 | 0.4037
     31 | 0.3989

llama-orpo (llama) at Phase 0C candidate layers:
  Layer | Norm Magnitude
  ------|---------------
      4 | 0.2609
      8 | 0.2439
     12 | 0.2284
     16 | 0.2914
     20 | 0.3703
     21 | 0.3773
     22 | 0.3999
     23 | 0.4095
     28 | 0.4346
     29 | 0.4402
     30 | 0.4519 ←
     31 | 0.4500

gemma-sft (gemma) at Phase 0C candidate layers:
  Layer | Norm Magnitude
  ------|---------------
      4 | 0.0830
      8 | 0.1247
     14 | 0.1232
     20 | 0.2979
     25 | 0.4379
     26 | 0.4936
     28 | 0.5123 ←
     29 | 0.5062
     30 | 0.5096
     31 | 0.4940
     36 | 0.4686
     37 | 0.4659
     38 | 0.4559
     39 | 0.4369
     40 | 0.4401
     41 | 0.3885

gemma-ra-sft (gemma) at Phase 0C candidate layers:
  Layer | Norm Magnitude
  ------|---------------
      4 | 0.0824
      8 | 0.1033
     14 | 0.0851
     20 | 0.2054
     25 | 0.4171 ←
     26 | 0.3879
     28 | 0.3505
     29 | 0.3388
     30 | 0.3458
     31 | 0.3466
     36 | 0.3856
     37 | 0.3890
     38 | 0.3452
     39 | 0.3306
     40 | 0.3083
     41 | 0.2127

gemma-orpo (gemma) at Phase 0C candidate layers:
  Layer | Norm Magnitude
  ------|---------------
      4 | 0.0752
      8 | 0.1099
     14 | 0.1530
     20 | 0.2737
     25 | 0.4988
     26 | 0.5771
     28 | 0.6427
     29 | 0.6243
     30 | 0.6179
     31 | 0.6269
     36 | 0.6536
     37 | 0.6464
     38 | 0.6553
     39 | 0.6521
     40 | 0.6768
     41 | 0.7810 ←
